"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dropout","hidden_size","learning_rate","n_epochs","num_in","num_layers","num_pred","rid_of_top","RMSE","epoch","test_loss","train_loss"
"VanillaLSTM_pred12_r4_i110_n4_h256_e500_l0.00019_d0.00","crashed","LSTM training with lr=0.00018623781048148527, dropout=0","","","2025-08-02T23:39:53.000Z","195","","64","0","256","0.00018623781048148527","500","110","4","12","4","0.11037682090863324","16","0.006813608319578084","0.0031233692729799884"
"VanillaLSTM_pred12_r4_i110_n4_h32_e500_l0.00004_d0.00","crashed","LSTM training with lr=4.323466030875271e-05, dropout=0","","","2025-08-03T00:28:34.000Z","16","","64","0","32","0.00004323466030875271","500","110","4","12","4","","","",""
"VanillaLSTM_pred12_r4_i110_n4_h32_e500_l0.00039_d0.30","crashed","LSTM training with lr=0.0003913742480383042, dropout=0.3","","","2025-08-02T23:33:15.000Z","30","","32","0.3","32","0.0003913742480383042","500","110","4","12","4","","","",""
"VanillaLSTM_pred12_r4_i110_n3_h64_e500_l0.00053_d0.10","crashed","LSTM training with lr=0.0005296446781288513, dropout=0.1","","","2025-08-02T23:15:09.000Z","0","","256","0.1","64","0.0005296446781288513","500","110","3","12","4","","","",""
"VanillaLSTM_pred12_r4_i110_n3_h64_e500_l0.00028_d0.50","crashed","LSTM training with lr=0.00028459804454799854, dropout=0.5","","","2025-08-02T23:09:04.000Z","31","","32","0.5","64","0.00028459804454799854","500","110","3","12","4","","","",""
"VanillaLSTM_pred12_r4_i110_n2_h32_e500_l0.00007_d0.20","crashed","LSTM training with lr=6.888490703227297e-05, dropout=0.2","","","2025-08-02T23:18:18.000Z","15","","256","0.2","32","0.00006888490703227297","500","110","2","12","4","","","",""
"VanillaLSTM_pred12_r4_i110_n4_h32_e500_l0.00033_d0.00","crashed","LSTM training with lr=0.0003321265677781427, dropout=0","","","2025-08-03T01:12:06.000Z","16","","64","0","32","0.0003321265677781427","500","110","4","12","4","","","",""
"VanillaLSTM_pred12_r4_i110_n4_h32_e500_l0.00059_d0.00","crashed","LSTM training with lr=0.0005854267896916611, dropout=0","","","2025-08-03T01:10:33.000Z","16","","128","0","32","0.0005854267896916611","500","110","4","12","4","","","",""
"VanillaLSTM_pred12_r4_i110_n2_h32_e500_l0.00050_d0.00","crashed","LSTM training with lr=0.0004983976517773587, dropout=0","","","2025-08-03T00:46:24.000Z","31","","32","0","32","0.0004983976517773587","500","110","2","12","4","","","",""
"VanillaLSTM_pred12_r4_i110_n4_h32_e500_l0.00064_d0.30","crashed","LSTM training with lr=0.0006431795750957515, dropout=0.3","","","2025-08-02T23:28:48.000Z","31","","32","0.3","32","0.0006431795750957515","500","110","4","12","4","","","",""
